192001,Management,,1,CSE
192002,Kcet,8542,1,EEE
192003,Kcet,1745,1,ECE
192004,Comed-K,15465,1,ISE
192005,Kcet,13456,1,CSBS
192006,Management,NA,1,ME
192007,Kcet,56000,1,IT
192008,Management,NA,1,CSE
192009,Comed-K,10987,1,ME
192010,Comed-K,45098,1,ISE
192011,Management,NA,1,CSE
192012,Kcet,32000,1,BT
192013,Kcet,1200,1,CSE
192014,Comed-K,20000,1,BT
192015,Kcet,1745,1,CSBS
192016,Comed-K,2010,1,CSBS
192017,Kcet,3200,1,IT
192018,Management,NA,1,ME
192019,Kcet,1234,1,CSE
192020,Management,NA,1,CSBS
192021,Kcet,2000,1,CSBS
192022,Management,NA,1,CSE
192023,Comed-K,3000,1,IT
192024,Management,NA,1,CSE
192025,Kcet,1400,1,IT
